region,service,resource_id,check,status,detail,risk_level
eu-west-1,ec2,i-0ac677d7497d11ca5,stopped_instance,WARN,"type=t2.large, EBS volumes still incurring cost",MEDIUM
eu-west-1,ec2,i-041b5dabc6845fb85,stopped_instance,WARN,"type=t2.small, EBS volumes still incurring cost",MEDIUM
eu-west-1,ec2,i-088bc44abd6788ef0,stopped_instance,WARN,"type=t2.medium, EBS volumes still incurring cost",MEDIUM
eu-west-1,ec2,i-085a5305cd3dba9e2,stopped_instance,WARN,"type=t3.medium, EBS volumes still incurring cost",MEDIUM
eu-west-1,ec2,i-0bcf61f9a9e3c544f,stopped_instance,WARN,"type=c5.xlarge, EBS volumes still incurring cost",MEDIUM
eu-west-1,ec2,i-01484372b3b343548,previous_gen_instance,WARN,"type=t2.medium, consider upgrading",LOW
eu-west-1,ec2,i-0cdc348cc2ec0f000,previous_gen_instance,WARN,"type=t2.small, consider upgrading",LOW
eu-west-1,eip,eipalloc-096f859ad19bf26ff,unused_elastic_ip,WARN,ip=54.246.40.34,LOW
eu-west-1,ebs,vol-00cabd209ccb47a55,unattached_volume,WARN,"size=32GB, type=gp3",MEDIUM
eu-west-1,ebs,vol-0dc6b7f01aa6c4598,unattached_volume,WARN,"size=20GB, type=gp3",MEDIUM
eu-west-1,ebs,vol-030a924d853b34787,unattached_volume,WARN,"size=8GB, type=gp3",MEDIUM
eu-west-1,ebs,vol-0b9eba54e6734d3a5,unattached_volume,WARN,"size=10GB, type=gp3",MEDIUM
eu-west-1,ebs_snapshot,snap-0305c284440e84760,old_snapshot,WARN,"age=1129d, size=50GB",LOW
eu-west-1,ebs_snapshot,snap-0c644e7d5b9a836cc,old_snapshot,WARN,"age=1130d, size=50GB",LOW
eu-west-1,ebs_snapshot,snap-0dceca7b2c6ae4145,old_snapshot,WARN,"age=1145d, size=50GB",LOW
eu-west-1,ebs_snapshot,snap-036a7efaca6bf5ea4,old_snapshot,WARN,"age=1150d, size=50GB",LOW
eu-west-1,ebs_snapshot,snap-07ad2a01fc4d45bcc,old_snapshot,WARN,"age=1346d, size=60GB",LOW
eu-west-1,ebs_snapshot,snap-0240a9acec92abd89,old_snapshot,WARN,"age=1495d, size=60GB",LOW
eu-west-1,ebs_snapshot,snap-0e9e72881c9063170,old_snapshot,WARN,"age=1729d, size=10GB",LOW
eu-west-1,ebs_snapshot,snap-0075409fdcdd56431,old_snapshot,WARN,"age=1830d, size=10GB",LOW
