region,service,resource_id,check,status,detail,risk_level
eu-west-1,ec2,i-0af221a8831c405cc,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/PMIICLOUDDEVBT-1-dev20230210111107143200000004",MEDIUM
eu-west-1,ec2,i-0ac677d7497d11ca5,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/AmazonSSMRoleForInstancesQuickSetup",MEDIUM
eu-west-1,ec2,i-041b5dabc6845fb85,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/msk-client-cdc-poc",MEDIUM
eu-west-1,ec2,i-04dfbb4c1dd95249d,instance_exposure,PASS,"public_ip=false, imdsv1=false, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/icloudcore-development-ec2-dev20240813083059678100000002",MINIMAL
eu-west-1,ec2,i-088bc44abd6788ef0,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/AmazonSSMRoleForInstancesQuickSetup",MEDIUM
eu-west-1,ec2,i-085a5305cd3dba9e2,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/AmazonSSMRoleForInstancesQuickSetup",MEDIUM
eu-west-1,ec2,i-01484372b3b343548,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/greenup-smartu-mongodb-profile",MEDIUM
eu-west-1,ec2,i-0cad83841d23a3d84,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/deep-audit-policy-ssm-managed-instance",MEDIUM
eu-west-1,ec2,i-0bcf61f9a9e3c544f,instance_exposure,PASS,"public_ip=false, imdsv1=false, open_to_world=false, role=arn:aws:iam::291751643970:instance-profile/timestream_ec2_instance_role",MINIMAL
eu-west-1,ec2,i-055400ea29cbffc78,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=true, role=arn:aws:iam::291751643970:instance-profile/eks-10c98fe2-90cb-9884-2939-f941b1d2076d",HIGH
eu-west-1,ec2,i-023ff426d0a34c412,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=true, role=arn:aws:iam::291751643970:instance-profile/eks-dcc98fe2-9f88-1b3d-74b9-f640f5fae810",HIGH
eu-west-1,ec2,i-0f48ef5c8b655cf64,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=true, role=arn:aws:iam::291751643970:instance-profile/eks-dcc98fe2-9f88-1b3d-74b9-f640f5fae810",HIGH
eu-west-1,ec2,i-0c70a888944c9b1fa,instance_exposure,FAIL,"public_ip=false, imdsv1=true, open_to_world=true, role=arn:aws:iam::291751643970:instance-profile/eks-dcc98fe2-9f88-1b3d-74b9-f640f5fae810",HIGH
